,city_state_country,geopy location,coordinates
7775,"Madison Township, PA, USA","Madison Township, Armstrong County, Pennsylvania, United States","(40.9649382, -79.47006495907962)"
7776,"Wyndmoor, PA, USA","Wyndmoor, Springfield Township, Montgomery County, Pennsylvania, United States","(40.0853435, -75.19402070907555)"
7777,"starlight, PA, USA","Starlight, Buckingham Township, Wayne County, Pennsylvania, 18461, United States","(41.9050859, -75.3310083)"
7778,"Artemas, PA, USA","Artemas, Mann Township, Bedford County, Pennsylvania, 17211, United States","(39.7470323, -78.4389033)"
7779,"Susquehanna, PA, USA","Susquehanna, Herrick Township, Susquehanna County, Pennsylvania, United States","(41.71803185, -75.55836195053669)"
7780,"Mifflin, PA, USA","Mifflin, Juniata County, Pennsylvania, United States","(40.5695217, -77.4027674)"
7781,"Hartleton, PA, USA","Hartleton, Union County, Pennsylvania, 17829, United States","(40.9006335, -77.1560861)"
7782,"Lafayette hill, PA, USA","Lafayette Hill, Whitemarsh Township, Montgomery County, Pennsylvania, 19444, United States","(40.0939993, -75.2529568)"
7783,"Picture Rocks, PA, USA","Picture Rocks, Lycoming County, Pennsylvania, 17762, United States","(41.2798029, -76.7130116)"
7784,"Huntington Valley, PA, USA","Huntington Creek, Pleasant Valley, Luzerne County, Pennsylvania, 18622, United States","(41.2374185, -76.2346484)"
7785,"Folsom, PA, USA","Folsom, Ridley Township, Delaware County, Pennsylvania, 19033, United States","(39.8898346, -75.3251883)"
7786,"Clifford Township, PA, USA","Clifford Township, Susquehanna County, Pennsylvania, 18413, United States","(41.675804150000005, -75.5489926017443)"
7787,"Pocono Pines, PA, USA","Pocono Pines, Tobyhanna Township, Monroe County, Pennsylvania, 18350, United States","(41.115478499999995, -75.44954822211182)"
7788,"Fallsington, PA, USA","Fallsington, Falls Township, Bucks County, Pennsylvania, 19054, United States","(40.1873314, -74.8187743)"
7789,"Merion, PA, USA","Merion, Idris Road, Lower Merion Township, Montgomery County, Pennsylvania, 19066, United States","(39.9975379, -75.2516078)"
7790,"Bolivar, PA, USA","Bolivar, Westmoreland County, Pennsylvania, United States","(40.3970146, -79.1516989)"
7791,"Limeport, PA, USA","Limeport, Lower Milford, Lehigh County, Pennsylvania, 18060, United States","(40.5089877, -75.4471264)"
7792,"newtown, PA, USA","Newtown, Reilly Township, Schuylkill County, Pennsylvania, United States","(40.65294535, -76.34504304490187)"
7793,"Nicktown, PA, USA","Nicktown, Barr Township, Cambria County, Pennsylvania, 15762:15931, United States","(40.6137928, -78.8047007)"
7794,"Mineral Point, PA, USA","Mineral Point, East Taylor Township, Cambria County, Pennsylvania, 15942, United States","(40.3795178, -78.835301)"
7795,"lehighton, PA, USA","Lehighton, Carbon County, Pennsylvania, United States","(40.8339907, -75.7135568)"
7796,"LANCASTER, PA, USA","Lancaster, Lancaster County, Pennsylvania, United States","(40.03813, -76.3056686)"
7797,"Falls Creek, PA, USA","Falls Creek, Jefferson County, Pennsylvania, 15840, United States","(41.1414445, -78.80574707470682)"
7798,"Leeper, PA, USA","Leeper, Farmington Township, Knox Township, Clarion County, Pennsylvania, 16361, United States","(41.3703408, -79.3042099)"
7799,"Osceola, PA, USA","Osceola, Tioga County, Pennsylvania, 16942, United States","(41.9820167, -77.3424804)"
7800,"SunBury, PA, USA","Sunbury, Northumberland County, Pennsylvania, 17801, United States","(40.8619754, -76.7936252)"
7801,"Alverda, PA, USA","Alverda, Pine Township, Indiana County, Pennsylvania, 15710, United States","(40.6303454, -78.8569723)"
7802,"Scott, PA, USA","Scott, Lackawanna County, Pennsylvania, United States","(41.5695241, -75.6321327)"
7803,"Hookstown, PA, USA","Hookstown, Beaver County, Pennsylvania, United States","(40.5992324, -80.4728444)"
7804,"Aspinwall, PA, USA","Aspinwall, Allegheny County, Pennsylvania, United States","(40.491242, -79.9035096)"
7805,"Bellevue, PA, USA","Bellevue, Allegheny County, Pennsylvania, United States","(40.4939576, -80.0517216)"
7806,"Lords Valley, PA, USA","Lords Valley, Pike County, Pennsylvania, 18428, United States","(41.3675908, -75.0623947)"
7807,"Big Cove Tannery, PA, USA","Big Cove Tannery, Ayr Township, Fulton County, Pennsylvania, United States","(39.8489792, -78.0494476)"
7808,"New Buffalo, PA, USA","New Buffalo, Perry County, Pennsylvania, 17069, United States","(40.454252, -76.9696989)"
7809,"East Pittsburgh, PA, USA","East Pittsburgh, Allegheny County, Pennsylvania, United States","(40.3957108, -79.8384391)"
7810,"Oakdale, PA, USA","Oakdale, Allegheny County, Pennsylvania, 15071, United States","(40.3981246, -80.1856134)"
7811,"Blooming Grove, PA, USA","Blooming Grove, Pike County, Pennsylvania, 18464, United States","(41.3705468, -75.1544436)"
7812,"Brackenridge, PA, USA","Brackenridge, Allegheny County, Pennsylvania, 15014, United States","(40.6081221, -79.7411594)"
7813,"Karns City, PA, USA","Karns City, Butler County, Pennsylvania, United States","(40.9948556, -79.7263363)"
7814,"erie, PA, USA","Erie, Erie County, Pennsylvania, 16530, United States","(42.1294712, -80.0852695)"
7815,"Kemblesville, PA, USA","Kemblesville, Franklin Township, Chester County, Pennsylvania, 19347, United States","(39.7489996, -75.8241053)"
7816,"Lilly, PA, USA","Lilly, Cambria County, Pennsylvania, United States","(40.4259059, -78.6200178)"
7817,"Spring Glen, PA, USA","Spring Glen, Hubley Township, Schuylkill County, Pennsylvania, 17978, United States","(40.6261974, -76.6207969)"
7818,"Bear Creek Township, PA, USA","Bear Creek, Penn Forest Township, Carbon County, Pennsylvania, 18229, United States","(40.921804, -75.7100749)"
7819,"Doylesburg, PA, USA","Doylesburg, Fannett Township, Franklin County, Pennsylvania, 17219, United States","(40.2134179, -77.6999909)"
7820,"Hallstead, PA, USA","Hallstead, Susquehanna County, Pennsylvania, 18822, United States","(41.96036095, -75.7472801023719)"
7821,"Mainesburg, PA, USA","Mainesburg, Tioga County, Pennsylvania, 16932, United States","(41.7839631, -76.9982982)"
7822,"Loretto, PA, USA","Loretto, Cambria County, Pennsylvania, 15999, United States","(40.5029161, -78.6314019)"
7823,"East Pennsboro, PA, USA","East Pennsboro, Mountain View Drive, Mountain View Estates, Cumberland County, Pennsylvania, 17025, United States","(40.29843385, -76.94243193471897)"
7824,"Carmichaels, PA, USA","Carmichaels, Greene County, Pennsylvania, United States","(39.8967425, -79.9744992)"
7825,"Brownsville, PA, USA","Brownsville, Fayette County, Pennsylvania, 15417, United States","(40.0236854, -79.8839357)"
7826,"Clarion, PA, USA","Clarion, Clarion County, Pennsylvania, 16214, United States","(41.2148975, -79.3857047)"
7827,"Curryville, PA, USA","Curryville, North Woodbury Township, Blair County, Pennsylvania, 16631, United States","(40.2759106, -78.3383466)"
7828,"Martinsburg, PA, USA","Martinsburg, Blair County, Pennsylvania, United States","(40.3111875, -78.3241796)"
7829,"Camden, PA, USA","Camden, Wilcox County, Alabama, 36726, United States","(31.9909813, -87.2905456)"
7830,"Orbisonia, PA, USA","Orbisonia, Huntingdon County, Pennsylvania, United States","(40.2428588, -77.8930528)"
7831,"Wagontown, PA, USA","Wagontown, West Caln Township, Chester County, Pennsylvania, 19320, United States","(40.0106604, -75.8427244)"
7832,"Dushore, PA, USA","Dushore, Sullivan County, Pennsylvania, United States","(41.524242, -76.4007744)"
7833,"Nicholson, PA, USA","Nicholson, Wyoming County, Pennsylvania, 18446, United States","(41.6261882, -75.78047)"
7834,"McSherrystown, PA, USA","McSherrystown, Adams County, Pennsylvania, 17344, United States","(39.8073216, -77.0113699)"
7835,"Great Bend, PA, USA","Great Bend Borough, Susquehanna County, Pennsylvania, 18821, United States","(41.973850150000004, -75.74711193271577)"
7836,"Allensville, PA, USA","Allensville, Menno Township, Mifflin County, Pennsylvania, 17002, United States","(40.5359062, -77.8169407)"
7837,"Carrolltown, PA, USA","Carrolltown, Cambria County, Pennsylvania, United States","(40.6028465, -78.7086346)"
7838,"Bendersville, PA, USA","Bendersville, Adams County, Pennsylvania, 17306, United States","(39.9825926, -77.2494276)"
7839,"Everett, PA, USA","Everett, Bedford County, Pennsylvania, 15537, United States","(40.0114711, -78.3733484)"
7840,"Hopewell, PA, USA","Hopewell, East Nottingham Township, Chester County, Pennsylvania, 19363, United States","(39.7792747, -76.0163362)"
7841,"Spring Brook Township, PA, USA","Morgan Spring Drive, Honey Brook Township, Chester County, Pennsylvania, 19543, United States","(40.142426, -75.86844)"
7842,"Williamsburg, PA, USA","Williamsburg, Blair County, Pennsylvania, 16693, United States","(40.4611846, -78.2016846)"
7843,"Earlington, PA, USA","Earlington Road, Haverford Township, Delaware County, Pennsylvania, 19083, United States","(39.9723703, -75.2867613)"
7844,"Youngwood, PA, USA","Youngwood, Westmoreland County, Pennsylvania, 15697, United States","(40.240348, -79.5767066)"
7845,"Six Mile Run, PA, USA","Six Mile Run, Rush Township, Centre County, Pennsylvania, 16849, United States","(40.8915916, -78.1174644)"
7846,"SINKING SPRING, PA, USA","Sinking Spring, Berks County, Pennsylvania, United States","(40.3246704, -76.0171505)"
7847,"Rose Valley, PA, USA","Rose Valley, Delaware County, Pennsylvania, United States","(39.8962229, -75.3849148)"
7848,"Genesee, PA, USA","Genesee, Genesee Township, Potter County, Pennsylvania, 16923, United States","(41.9892343, -77.8658312)"
7849,"Homestead, PA, USA","Homestead, Allegheny County, Pennsylvania, 15120-9998, United States","(40.4059025, -79.9119948)"
7850,"Coudersport, PA, USA","Coudersport, Potter County, Pennsylvania, 16951, United States","(41.7728108, -78.0192691)"
7851,"Scenery Hill, PA, USA","Scenery Hill, North Bethlehem Township, Washington County, Pennsylvania, 15360, United States","(40.0859056, -80.0703324)"
7852,"Lopez, PA, USA","Lopez, Sullivan County, Pennsylvania, 18628, United States","(41.4578544, -76.3335494)"
7853,"Cheyney, PA, USA","Cheyney, Thornbury Township, Delaware County, Pennsylvania, 19319, United States","(39.9284433, -75.5227033)"
7854,"Lincoln university, PA, USA","Lincoln University, 1570, Baltimore Pike, Lower Oxford Township, Chester County, Pennsylvania, 19352, United States","(39.8065518, -75.92870551247694)"
7855,"Bradfordwoods, PA, USA","Bradford Woods Post Office, 10, Seldom Seen Road, The Village, Bradford Woods, Wexford, Allegheny County, Pennsylvania, 15015, United States","(40.6379671, -80.0831049)"
7856,"Branchdale, PA, USA","Branchdale, Branch Dale, Reilly Township, Schuylkill County, Pennsylvania, 17923, United States","(40.6753095, -76.32132670024052)"
7857,"New Wilmington, PA, USA","New Wilmington, Lawrence County, Pennsylvania, 16172, United States","(41.1222812, -80.3328428)"
7858,"Smithfield, PA, USA","Smithfield, Fayette County, Pennsylvania, 15478, United States","(39.8031324, -79.8078289)"
7859,"Romansville, PA, USA","Romansville, West Bradford Township, Chester County, Pennsylvania, 19308, United States","(39.9520522, -75.7407761)"
7860,"Frazer, PA, USA","Frazer, East Whiteland Township, Chester County, Pennsylvania, 19345, United States","(40.0323293, -75.5560376)"
7861,"Mansfield, PA, USA","Mansfield, Tioga County, Pennsylvania, United States","(41.805687, -77.0792881)"
7862,"Wescosville, PA, USA","Wescosville, Lower Macungie Township, Lehigh County, Pennsylvania, 18106, United States","(40.5667635, -75.5529632)"
7863,"Delmont, PA, USA","Delmont, Westmoreland County, Pennsylvania, 15626, United States","(40.4131233, -79.5703201)"
7864,"reading, PA, USA","Reading, Berks County, Pennsylvania, United States","(40.335345, -75.9279495)"
7865,"warminster, PA, USA","Warminster, Warminster Township, Bucks County, Pennsylvania, 18974, United States","(40.2067751, -75.0996159)"
7866,"Ambridge, PA, USA","Ambridge, Beaver County, Pennsylvania, United States","(40.5892339, -80.22506)"
7867,"Warrendale, PA, USA","Warrendale, Marshall Township, Allegheny County, Pennsylvania, 15086, United States","(40.6534001, -80.079503)"
7868,"Finleyville, PA, USA","Finleyville, Washington County, Pennsylvania, United States","(40.2522922, -80.0028294)"
7869,"Somerset, PA, USA","Somerset, Somerset County, Pennsylvania, United States","(40.008411, -79.0780831)"
7870,"Mc Kees Rocks, PA, USA","McKees Rocks, Allegheny County, Pennsylvania, 151363, United States","(40.4656244, -80.0656106)"
7871,"Saegertown, PA, USA","Saegertown, Crawford County, Pennsylvania, United States","(41.7189447, -80.1475583)"
7872,"Columbia Cross Roads, PA, USA","Columbia Cross Roads, Bradford County, Pennsylvania, 16914, United States","(41.8359077, -76.8019008)"
7873,"Bessemer, PA, USA","Bessemer, Jefferson County, Alabama, United States","(33.4017766, -86.954437)"
7874,"Carverville, PA, USA",,
7875,"Patton, PA, USA","Patton, Cambria County, Pennsylvania, 1668, United States","(40.6339561, -78.6503006)"
7876,"Wilmington, PA, USA","New Wilmington, Lawrence County, Pennsylvania, 16172, United States","(41.1222812, -80.3328428)"
7877,"East Monptelier, VT, USA",,
7878,"Marshfield, VT, USA","Marshfield, Washington County, Vermont, 05658, United States","(44.3513146, -72.3535081)"
7879,"Braintree, VT, USA","Braintree, Orange County, Vermont, United States","(43.970190450000004, -72.722014100449)"
7880,"Huntington, VT, USA","Huntington, Chittenden County, Vermont, 05462, United States","(44.3253324, -72.9873439)"
7881,"Duxbury, VT, USA","Duxbury, Washington County, Vermont, 05676, United States","(44.3270012, -72.7526176)"
7882,"Cabot, VT, USA","Cabot, Washington County, Vermont, United States","(44.4028778, -72.3104466)"
7883,"Moretown, VT, USA","Moretown, Washington County, Vermont, 05660, United States","(44.2508139, -72.7615433)"
7884,"Hubbardton, VT, USA","Hubbardton, Rutland County, Vermont, United States","(43.7073565, -73.1844929)"
7885,"Craftsbury Common, VT, USA","Craftsbury Common, Craftsbury, Orleans County, Vermont, 05827, United States","(44.6535578, -72.3827342)"
7886,"Peru, VT, USA","Peru, Bennington County, Vermont, 05152, United States","(43.2302304, -72.9000615)"
7887,"Mendon, VT, USA","Mendon, Rutland County, Vermont, United States","(43.6514565, -72.9270504)"
7888,"East Montpelier, VT, USA","East Montpelier, Washington County, Vermont, United States","(44.271263, -72.487106)"
7889,"Washington, VT, USA","Washington, Orange County, Vermont, 05675, United States","(44.105619, -72.432601)"
7890,"Warren, VT, USA","Warren, Washington County, Vermont, 05674, United States","(44.1131991, -72.855743)"
7891,"Shoreham, VT, USA","Shoreham, Addison County, Vermont, 05770, United States","(43.89643235, -73.31371112536581)"
7892,"Jamaica, VT, USA","Jamaica, Windham County, Vermont, 05343, United States","(43.1001334, -72.7784018)"
7893,"Roxbury, VT, USA","Roxbury, Washington County, Vermont, 05669, United States","(44.094489, -72.732925)"
7894,"Chester, VT, USA","Chester, Windsor County, Vermont, 05143, United States","(43.2629706, -72.5945649)"
7895,"Weybridge, VT, USA","Weybridge, Addison County, Vermont, United States","(44.0664464, -73.2156751)"
7896,"Concord, VT, USA","Concord, Essex County, Vermont, 05824, United States","(44.4288767, -71.888608)"
7897,"Middlebury, VT, USA","Middlebury, Buttolph Acres, Middlebury, Addison County, Vermont, 05753, United States","(44.007273600000005, -73.16330105415423)"
7898,"Charlotte, VT, USA","Charlotte, Chittenden County, Vermont, 05445, United States","(44.31258675, -73.23897890288501)"
7899,"Hinesburg, VT, USA","Hinesburg, Chittenden County, Vermont, 05461, United States","(44.329251, -73.111267)"
7900,"New Haven, VT, USA","New Haven, Addison County, Vermont, 05472, United States","(44.1244902, -73.1537752)"
7901,"Middlesex, VT, USA","Middlesex, Washington County, Vermont, United States","(44.2925824, -72.6792056)"
7902,"Rochester, VT, USA","Rochester, Windsor County, Vermont, 05767, United States","(43.874633, -72.808456)"
7903,"Burlington, VT, USA","Burlington, Chittenden County, Vermont, 05401, United States","(44.4761601, -73.212906)"
7904,"Killington, VT, USA","Killington, Rutland County, Vermont, 05751, United States","(43.67433, -72.7784445)"
7905,"Johnson, VT, USA","Johnson, Lamoille County, Vermont, United States","(44.6356063, -72.6803979)"
7906,"Peacham, VT, USA","Peacham, Caledonia County, Vermont, 05862, United States","(44.3284703, -72.1703611)"
7907,"Perkinsville, VT, USA","Perkinsville, Weathersfield, Windsor County, Vermont, 05151, United States","(43.37411, -72.513885)"
7908,"Williamstown, VT, USA","Williamstown, Orange County, Vermont, 05679, United States","(44.122099, -72.542038)"
7909,"South Strafford, VT, USA","South Strafford, Strafford, Orange County, Vermont, 05070, United States","(43.8352785, -72.365507)"
7910,"South Burlington, VT, USA","South Burlington, Chittenden County, Vermont, United States","(44.4669941, -73.1709604)"
7911,"West Townshend, VT, USA","West Townshend, Townshend, Windham County, Vermont, United States","(43.0844125, -72.7118629)"
7912,"Putney, VT, USA","Putney, Windham County, Vermont, 05346, United States","(42.9750374, -72.5219215)"
7913,"Newfane, VT, USA","Newfane, Windham County, Vermont, United States","(42.9856359, -72.6559259)"
7914,"West Dummerston, VT, USA","West Dummerston, Dummerston, Windham County, Vermont, 05357, United States","(42.928463, -72.6135869)"
7915,"Waitsfield, VT, USA","Waitsfield, Washington County, Vermont, 05673, United States","(44.192132, -72.8227076)"
7916,"Montpelier, VT, USA","Montpelier, Washington County, Vermont, 05602, United States","(44.2602164, -72.575114)"
7917,"Springfield, VT, USA","Springfield, Windsor County, Vermont, United States","(43.28922685, -72.47722091664758)"
7918,"Hartland, VT, USA","Hartland, Windsor County, Vermont, United States","(43.5408824, -72.3990809)"
7919,"Randolph Ctr, VT, USA","Randolph Center, Randolph, Orange County, Vermont, 05061, United States","(43.9408988, -72.607603)"
7920,"Corinth, VT, USA","Corinth, Orange County, Vermont, 05039, United States","(44.0378875, -72.28792001420021)"
7921,"Bridgewater Corners, VT, USA","Bridgewater Corners, Bridgewater, Windsor County, Vermont, 05035, United States","(43.5883336, -72.6561682)"
7922,"Marlboro, VT, USA","Marlboro, Windham County, Vermont, 05344, United States","(42.859526, -72.7259271)"
7923,"Tinmouth, VT, USA","Tinmouth, Rutland County, Vermont, United States","(43.4487463, -73.0503403)"
7924,"Greensboro, VT, USA","Greensboro, Orleans County, Vermont, 05841, United States","(44.5768593, -72.2960634)"
7925,"Plainfield, VT, USA","Plainfield, Washington County, Vermont, 05667, United States","(44.2781151, -72.4264926)"
7926,"Hyde Park, VT, USA","Hyde Park, Lamoille County, Vermont, United States","(44.5939405, -72.6165053)"
7927,"Jericho, VT, USA","Jericho, Chittenden County, Vermont, 05465, United States","(44.4897051, -72.96228113556475)"
7928,"Lincoln, VT, USA","Lincoln, Addison County, Vermont, United States","(44.1057946, -72.9971578)"
7929,"Wilmington, VT, USA","Wilmington, Windham County, Vermont, 05363, United States","(42.8684143, -72.8714868)"
7930,"Hancock, VT, USA","Hancock, Addison County, Vermont, 05748, United States","(43.9261752, -72.8412203)"
7931,"Vergennes, VT, USA","Vergennes, Addison County, Vermont, United States","(44.168415, -73.252029)"
7932,"Norwich, VT, USA","Norwich, Windsor County, Vermont, 05055, United States","(43.7136654, -72.3081535)"
7933,"East Corinth, VT, USA","East Corinth, Corinth, Orange County, Vermont, 05040, United States","(44.0639541, -72.2223163)"
7934,"Albany, VT, USA","Albany, Orleans County, Vermont, United States","(44.7315076, -72.3797529)"
7935,"Stannard, VT, USA","Stannard, Caledonia County, Vermont, 05842, United States","(44.5422759, -72.2142686)"
7936,"Montgomery, VT, USA","Montgomery, Franklin County, Vermont, United States","(44.902578, -72.638855)"
7937,"Troy, VT, USA","Troy, Orleans County, Vermont, 05868, United States","(44.9037718, -72.4058578)"
7938,"Strafford, VT, USA","Strafford, Orange County, Vermont, United States","(43.8664568, -72.3778728)"
7939,"Newport, VT, USA","Newport City, Orleans County, Vermont, 05855, United States","(44.936127, -72.204895)"
7940,"Maidstone, VT, USA","Maidstone, Essex County, Vermont, 05905, United States","(44.645072400000004, -71.6145532591119)"
7941,"Bethel, VT, USA","Bethel, Windsor County, Vermont, United States","(43.833536, -72.634048)"
7942,"Westminster, VT, USA","Westminster, Windham County, Vermont, United States","(43.0678903, -72.4586472)"
7943,"Worcester, VT, USA","Worcester, Washington County, Vermont, 05682, United States","(44.373932, -72.550278)"
7944,"Reading, VT, USA","Reading, Windsor County, Vermont, 05062, United States","(43.500005650000006, -72.59291505134692)"
7945,"East Calais, VT, USA","East Calais, Calais, Washington County, Vermont, 05650, United States","(44.3664462, -72.429828)"
7946,"Guilford, VT, USA","Guilford, Windham County, Vermont, United States","(42.8177653, -72.5751369)"
7947,"Salisbury, VT, USA","Salisbury, Addison County, Vermont, 05769, United States","(43.896903, -73.100281)"
7948,"Baltimore, VT, USA","Baltimore, Windsor County, Vermont, United States","(43.3604095, -72.5726315)"
7949,"Brattleboro, VT, USA","Brattleboro, Windham County, Vermont, United States","(42.8507588, -72.5572913)"
7950,"Shelburne, VT, USA","Shelburne, Chittenden County, Vermont, 05482, United States","(44.394248450000006, -73.22640417513911)"
7951,"Calais, VT, USA","Calais, Washington County, Vermont, United States","(44.3692263, -72.4681875)"
7952,"Brookfield, VT, USA","Brookfield, Orange County, Vermont, 05036, United States","(44.0422861, -72.6034385)"
7953,"Cuttingsville, VT, USA","Cuttingsville, Shrewsbury, Rutland County, Vermont, 05738, United States","(43.4885205, -72.8816138)"
7954,"Saint Albans, VT, USA","Saint Albans, Franklin County, Vermont, United States","(44.8107911, -73.0833607)"
7955,"Richford, VT, USA","Richford, Franklin County, Vermont, 05476, United States","(44.9971493, -72.6715324)"
7956,"Pomfret, VT, USA","Pomfret, Windsor County, Vermont, United States","(43.705112, -72.515945)"
7957,"Victory, VT, USA","Victory, Essex County, Vermont, 05858, United States","(44.5092023, -71.8453264)"
7958,"White River Junction, VT, USA","White River Junction, Hartford, Windsor County, Vermont, 03784, United States","(43.6488351, -72.3193634)"
7959,"Sharon, VT, USA","Sharon, Windsor County, Vermont, 05065, United States","(43.784976, -72.454834)"
7960,"Hartford, VT, USA","Hartford, Windsor County, Vermont, United States","(43.6605736, -72.3385094)"
7961,"West Windsor, VT, USA","West Windsor, Windsor County, Vermont, 05037, United States","(43.48693285, -72.49146346799421)"
7962,"Danville, VT, USA","Danville, Caledonia County, Vermont, 05828, United States","(44.411562, -72.1400382)"
7963,"Granville, VT, USA","Granville, Addison County, Vermont, 05747, United States","(43.9846494, -72.8465839)"
7964,"Saint Johnsbury, VT, USA","Saint Johnsbury, Caledonia County, Vermont, United States","(44.419464, -72.0153096)"
7965,"North Chittenden, VT, USA","North Chittenden, Chittenden, Rutland County, Vermont, 05737, United States","(43.7403438, -72.975942)"
7966,"Bradford, VT, USA","Bradford, Orange County, Vermont, 05033, United States","(43.9924278, -72.1294525)"
7967,"Ripton, VT, USA","Ripton, Addison County, Vermont, United States","(43.9744647, -73.03437)"
7968,"Northfield, VT, USA","Northfield, Washington County, Vermont, 05663, United States","(44.153195, -72.65679528850326)"
7969,"Waltham, VT, USA","Waltham, Addison County, Vermont, 05491, United States","(44.12589065, -73.23344498851795)"
7970,"Sandgate, VT, USA","Sandgate, Bennington County, Vermont, United States","(43.1481323, -73.1989963)"
7971,"Waterbury, VT, USA","Waterbury, Washington County, Vermont, United States","(44.337125349999994, -72.75549720909403)"
7972,"Bristol, VT, USA","Bristol, Addison County, Vermont, United States","(44.1332662, -73.0785227)"
7973,"Cavendish, VT, USA","Cavendish, Windsor County, Vermont, 05142, United States","(43.3820189, -72.6085084)"
7974,"Randolph Center, VT, USA","Randolph Center, Randolph, Orange County, Vermont, 05061, United States","(43.9408988, -72.607603)"
7975,"Vershire, VT, USA","Vershire, Orange County, Vermont, 05079, United States","(43.969789, -72.3225956)"
7976,"Londonderry, VT, USA","Londonderry, Windham County, Vermont, United States","(43.2284932, -72.8113103)"
7977,"Westford, VT, USA","Westford, Chittenden County, Vermont, 05494, United States","(44.6119901, -73.0088889)"
7978,"Shaftsbury, VT, USA","Shaftsbury, Bennington County, Vermont, 05262, United States","(43.0089244, -73.1916911)"
7979,"Richmond, VT, USA","Richmond, Chittenden County, Vermont, 05477, United States","(44.4053306, -72.9929017)"
7980,"Waterbury Center, VT, USA","Waterbury Center, Waterbury, Washington County, Vermont, 05677, United States","(44.3781114, -72.7159505)"
7981,"South Woodstock, VT, USA","South Woodstock, Woodstock, Windsor County, Vermont, 05071, United States","(43.5655751, -72.5324499)"
7982,"Brandon, VT, USA","Brandon, Rutland County, Vermont, United States","(43.7982806, -73.087913)"
7983,"Rutland, VT, USA","Rutland, Rutland City, Rutland County, Vermont, 05702, United States","(43.6063341, -72.9802745)"
7984,"Randolph, VT, USA","Randolph, Orange County, Vermont, United States","(43.925099, -72.666321)"
7985,"West Rutland, VT, USA","West Rutland, Rutland County, Vermont, 05777, United States","(43.5949727, -73.04049873551136)"
7986,"Williston, VT, USA","Williston, Chittenden County, Vermont, 05495, United States","(44.4374044, -73.0689621)"
7987,"East Craftsbury, VT, USA","East Craftsbury, Craftsbury, Orleans County, Vermont, 05826, United States","(44.6415099, -72.3428064)"
7988,"Colchester, VT, USA","Colchester, Chittenden County, Vermont, 05446, United States","(44.5360015, -73.2058402)"
7989,"Walden, VT, USA","Walden, Caledonia County, Vermont, United States","(44.449781, -72.2233339)"
7990,"Dummerston, VT, USA","Dummerston, Windham County, Vermont, 05357, United States","(42.93244425, -72.58652717925446)"
7991,"Underhill, VT, USA","Underhill, Chittenden County, Vermont, United States","(44.5258842, -72.9451267)"
7992,"Woodstock, VT, USA","Woodstock, Windsor County, Vermont, United States","(43.6247646, -72.5189791)"
7993,"Manchester, VT, USA","Manchester, Bennington County, Vermont, United States","(43.164121, -73.072815)"
7994,"Barre, VT, USA","Barre City, Washington County, Vermont, United States","(44.197467, -72.502213)"
7995,"Berlin, VT, USA","Berlin, Washington County, Vermont, United States","(44.2100759, -72.6034049442611)"
7996,"South Pomfret, VT, USA","South Pomfret, Pomfret, Windsor County, Vermont, 05067, United States","(43.6649185, -72.5391457)"
7997,"Leicester, VT, USA","Leicester, Addison County, Vermont, United States","(43.8666862, -73.1077432)"
7998,"East Hardwick, VT, USA","East Hardwick, Hardwick, Caledonia County, Vermont, 05836, United States","(44.5217205, -72.3087159)"
7999,"Lyndonville, VT, USA","Lyndonville, Lyndon, Caledonia County, Vermont, United States","(44.533717, -72.003708)"
8000,"Newark, VT, USA","Newark, Caledonia County, Vermont, 05871, United States","(44.7093115, -71.92279817260908)"
8001,"Orwell, VT, USA","Orwell, Addison County, Vermont, 05760, United States","(43.8057749, -73.29595912995433)"
8002,"Dorset, VT, USA","Dorset, Bennington County, Vermont, United States","(43.2397974, -73.00927)"
8003,"Brownsville, VT, USA","Brownsville, West Windsor, Windsor County, Vermont, 05037, United States","(43.4686825, -72.4709245)"
8004,"Andover, VT, USA","Andover, Windsor County, Vermont, United States","(43.2778166, -72.6972529)"
8005,"Stowe, VT, USA","Stowe, Lamoille County, Vermont, United States","(44.4654236, -72.6854695)"
8006,"Athens, VT, USA","Athens, Windham County, Vermont, United States","(43.1342264, -72.5680093)"
8007,"Bridport, VT, USA","Bridport, Addison County, Vermont, 05734, United States","(43.984460999999996, -73.33479448922955)"
8008,"Swanton, VT, USA","Swanton, Franklin County, Vermont, 05488, United States","(44.918139, -73.124313)"
8009,"Monkton, VT, USA","Monkton, Addison County, Vermont, 05469, United States","(44.2338247, -73.13544560944626)"
8010,"Halifax, VT, USA","Halifax, Windham County, Vermont, 05358, United States","(42.7822864, -72.74429764138142)"
8011,"Cornwall, VT, USA","Cornwall, Addison County, Vermont, United States","(43.960944, -73.210487)"
8012,"Morrisville, VT, USA","Morrisville, Morristown, Lamoille County, Vermont, 05661, United States","(44.5616154, -72.5981251)"
8013,"Townshend, VT, USA","Townshend, Windham County, Vermont, United States","(43.0467867, -72.6679376)"
8014,"Starksboro, VT, USA","Starksboro, Addison County, Vermont, 05487, United States","(44.2272782, -73.0573427)"
8015,"Tunbridge, VT, USA","Tunbridge, Orange County, Vermont, 05077, United States","(43.8888542, -72.4937239)"
8016,"Thetford Center, VT, USA","Thetford Center, Thetford, Orange County, Vermont, 05075, United States","(43.8286805, -72.2462023)"
8017,"East Charleston, VT, USA","East Charleston, Charleston, Orleans County, Vermont, 05833, United States","(44.8375509, -71.9902142)"
